,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
24,hour [UTC],13,CCl4,14,DEL_FCO2,439,Latitude [degN],21,Latitude [degrees_north],1,T,1,NITRAT,67,T_sea,49,Time_EDT,7,SAL,4,PHA,3,SSS,130,SS,7,QQ.QQ,1,            SST,86,0.0,0.0,WindSpd_True [knots],10,20160204PRINUNIVRMK,4,SiO4H4,1,0.0,0.0,EXPOCODE,115,dfCO2_uatm,78, SAL_permil,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,month [UTC],13,HCFC22,14,XCO2_AIR_FLAG,437,nitrate,21,SiO4 [umol/kg],1,A1,1,SAMPNO,65,S_sea,49,Date_EDT,7,BAROKP,4,TR,3,% O2,125,PCO2raw,6,fffffff,1,   WOCE_QC_FLAG,86,0.0,0.0,Press_Equil_hPa,2,20081126PRINUNIVRMK,4,pHSWS25,1,0.0,0.0,DATE_UTC_ddmmyyyy,47,fCO2w@SST_uatm,72, TEMP_EQU_C,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,atm_pres [mbar],13,C6H6,14,DEL_XCO2,434,fCO2_water_SST_wet [uatm],21,CTD Press [db],1,Anal. Time,1,NITRAT_FLAG_W,63,pCO2_atm,49,TWind1-sp,6,SMG,2,N02,3,Cruise,71,OXYGEN_TMP,5,gggggg,1,       H2O_FLOW,86,0.0,0.0,xCO2ATM_PPM_INTERP,2,20030219WHPSIOdm,3,Time(UTC),1,0.0,0.0,Cruise_ID,43,Longitude,70, QC_SUBFLAG,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,LONG_dec_degree,12,B,14,SHIP_SPEED,433,wind_dir_true [deg],21,O18 [permil VSMOW],1,578,1,CTDSAL,60,xCO2_equ,49,TWind1-dir,6,COG#2,2,YEAR,3,Ship,70,PH2O,5,RR.RRR,1,TYPE,86,0.0,0.0,xCO2ATM_PPM,2,20140120PRINUNIVRMK,3,Atmospheric pressure (mb),1,0.0,0.0,QC_flag,32,Pres_sealevel_mB,70,Pres_ssp_hpa,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,LAT_dec_degree,12,CHBr3,14,SOLAR_RAD,431,pCO2_water_SST_wet [uatm],21,Time,1,Sample,1,CTDSAL_FLAG_W,57,xCO2_atm,48,RWind1-sp,6,Punta Arenas  Chile,2,Ship,3,Mooring,61,OXYGEN,5,0.0,0.0,     LICOR_FLOW,86,0.0,0.0,Lat_dec_deg,2,20040202WHPSIOSA,3,Final Time (GMT),1,0.0,0.0, fCO2_SW@SST_uatm,32,Time,70, WOCE_QC_FLAG,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,DATE_UTC__ddmmyyyy,12,CFC113,14,XCO2_SST,431,Equilibrator Pressure [hPa],21,Date Time,1,Dye,1,SECT,41,WOCE QC flag,48,fluor,6,SOG#2,2,Depth (STD),3,xCO2_Air_QF,60,EQT,4,0.0,0.0,SUBFLAG,86,0.0,0.0,WindSpd_True [m/s],2,20141205PRINUNIVRMK,3,O2,1,0.0,0.0,LAT_DEC_DEGREE,32,Latitude,70, xCO2_ATM_ppm,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Sal,11,MC,14,FCO2_SST,431,Salinity [psu],21,CTD pH,1,0.0,0.0,NITRIT,32,Ambient Temp,47,RWInd1-dir,6,SOG,2,BOTTOM DEPTH,3,Licor_Atm_Pressure,60,RELH,4,0.0,0.0,   JD_GMT,86,0.0,0.0,fCO2SW_UATM,2,20091209MIRCJHATS,3,Time (UCT),1,0.0,0.0,Year_Fractional,32,xCO2w_ppm,70, LONG_dec_degree,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Tequ [deg.C],11,PCE,14,HUMIDITY,431,phosphate,21,CTD Sal [psu],1,0.0,0.0,NITRIT_FLAG_W,28,Air pCO2 cal,47,sal,6,16,2,DATE,3,xCO2_SW_dry,60,LATY,4,0.0,0.0,FCO2_AIR_INERP,86,0.0,0.0,xCO2_Flag,2,20010503WHPSIOKJU,3,Longitude(decimal),1,0.0,0.0,LONG_DEC_DEGREE,32,Pres_Equil_mB,70, dfCO2_uatm,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,JD_GMT,11,CH3I,14,ABSOLUTE_WIND_SPEED,431,SST [degC],21,Water Depth [m],1,0.0,0.0,PH_TMP,22,Atmos. RM Press cal (hPa),47,REL-HUM,6,McMurdo Sta Antarctic,2,LAT,3,xCO2_Air_dry,60,SLP,4,0.0,0.0,XCO2_WAT,56,0.0,0.0,Lon_dec_deg,2,20021108WHPSIOdm,3,Final depth (m),1,0.0,0.0,QC_sub_flag,32,Group,70, SST_C,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,pCO2_sw[uatm],11,H1211,14,PCO2_AIR_FLAG,431,silicate,21,Sample No. [All others match to this sample number],1,0.0,0.0,PH_TOT,21,Eq Temp cal,47,depth,6,TWS#1,2,CHL,3,Percent_O2,60,CRUZ_ID,4,0.0,0.0,FCO2_AIR,30,0.0,0.0,Time_UTC,2,20090112PRINUNIVRMKPRINUNIVRMK,3,pHNBS15,1,0.0,0.0,Press_SEALEVEL_hPa,32,Date,70, fCO2_SW@EQU_T_uatm,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,SST [deg.C],11,A,14,AIR_FCO2_FLAG,431,xCO2_water_Tequ_dry [umol/mol],21,Salt [psu],1,0.0,0.0,,21,Ship Speed(kt),47,press,6,TWS#3,2,T-P,3,xCO2_SW_QF,60,AIR_pCO2_uatm_Tak,4,0.0,0.0,QC_SUBFLAG,30,0.0,0.0,DFCO2_UATM,2,20080605JAMSTEC,3,Lat ºN,1,0.0,0.0,Press_EQU_hPa,32,Sal(TSG)_permil,69, JD_GMT,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,TIME_UTC_hh:mm:ss,11,CH2Cl2,14,REL_WIND_SPEED,431,xCO2_atm_dry_actual [umol/mol],21,NO3 [umol/kg],1,0.0,0.0,THETA,19,Rel WV(m/s),47,CO2,6,CMG,2,Sl.,2,fCO2_SW_sat,60,WBT,4,0.0,0.0,DATE/TIME,28,0.0,0.0,Press_ATM_hPa,2,20091219PRINUNIVRMK,3,Temperature,1,0.0,0.0,xCO2_ATM_ppm_measured,32,QC_SUBFLAG,63, DATE_UTC__mmddyyyy,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,fCO2_sw[uatm],11,CFC12,14,SEC,416,Pressure_atm [hPa],21,CTD Fluor [mg/m^3] calibrated,1,0.0,0.0,SECT_ID,19,Solar Radiation (W/m2),47,EXPOCODE,6,TWD#1,2,cast ,2,Licor_Temp,60,WARMING,4,0.0,0.0,QC_FLAG,28,0.0,0.0,JD_UTC,2,20160211PRINUNIVRMK,3,Tis,1,0.0,0.0,DATE_UTC__mmddyyyy,31,EXPOCODE,31, fCO2_ATM_interpolated_uatm,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,xCO2_equ[umol/mol],11,CFC11,14,MIN,416,Longitude [degE],21,TOC [mmol/L],1,0.0,0.0,PH_TOT_FLAG_W,19,Sub-flag,47,Station,5,TWD#3,2,Cast,2,H2O_AIR,60,LNGY,4,0.0,0.0,XCO2_AIR_INT,28,0.0,0.0,SST_degC,2,20020620WHPSIOKJU,3,Atmospheric Pressure(mb),1,0.0,0.0,,26,SHIP_SPEED_KNOT,19,Pres_equ_hpa,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Pequ [hPa],11,CHCl3,14,XCO2_AIR_INT,324,pCO2_atm_wet_actual [uatm],21,AlkOnly [umol/kg],1,0.0,0.0,NO2+NO3,16,Eq. Press(hPa),47,pCO2_Discrete,5,COG,2,SL,2,xCO2_SW_wet,60,SEA_pCO2_uatm_Tak,4,0.0,0.0,DEPTH,28,0.0,0.0,xCO2EQ_PPM,2,20100520MIRCJHATS,3,,1,0.0,0.0, fCO2_ATM_uatm,21,PRES_IR_hPa,19, TIME_UTC_hh:mm:ss,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Patm [hPa],11,CH3Cl,14,FCO2_WAT,289,delta pCO2 [uatm],21,DOC [mmol/L],1,0.0,0.0,NO2+NO3_FLAG_W,15,Air xCO2 cal,47,Salinity_Discrete,5,STNID,2,QC Oxy,1,fCO2_Air_sat,60,U10,4,0.0,0.0,DOY,28,0.0,0.0,SAL,2,20091210PRINUNIVRMK,3,0.0,0.0,0.0,0.0,xCO2_ATM_assigned,21,WIND_DIR_TRUE_DEGREE,19, xCO2_EQU_ppm,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,CTD,10,CH2Br2,14,FCO2_WAT_SST,217,oxygen [umol/l],21,PO4 [umol/kg],1,0.0,0.0,CHLORA_FLAG_W,14,Abs WV(m/s),47,Oxygen_Discrete,5,17,2,N:P,1,xCO2_Air_wet,60,AIRCO2_FLAG,4,0.0,0.0,XCO2_WAT_EQ,28,0.0,0.0,TEquil_degC,2,20091216PRINUNIVRMK,3,0.0,0.0,0.0,0.0,SAL(TSG)_PERMIL,21,fCO2_FLAG,19, PRES_ATM@SSP_hPa,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,fCO2_atm[uatm],8,0.5 ppm,13, XCO2_EQ,191,Equilibrator Temperature [degC],21,DIC [umol/kg],1,0.0,0.0,CHLORA,14,Hum(%),47,SIO3 (umol/kg),5,RPS Tech,2,DEC_LAT,1,H2O_SW,60,AIR_XCO2_ppm,4,0.0,0.0,CRUISE_DESIGNATION,28,0.0,0.0,fCO2ATM_UATM,2,20030224WHPSIOdm,3,0.0,0.0,0.0,0.0,GAS_FLOW_IR_ML/MIN,11,DATE_YYYYMMDD,19, xCO2_ATM_interpolated_ppm,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,pCO2_atm[uatm],8,Alkalinty,13, SST,191,wind_speed_true [m/s],21,RT Temp [deg C],1,0.0,0.0,DOC,12,SST cal,47,Sample_ID,5,1101,1,PRESSURE,1,xCO2_Sea,48,DQ_FLAG,4,0.0,0.0,year,18,0.0,0.0,Date_UTC,2,20001102WHPSIOJJW,3,0.0,0.0,0.0,0.0,SHIP_SPEED_KNOT,11,WATER_FLOW_L/MIN,19, PRES_EQU_hPa,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,D_fCO2_WOCE_FLAG,7,Absolute,13,PCO2_WAT_SST,182,Eq_Temp,20,Cast Depth [m],1,0.0,0.0,CFC-11,12,Sal verified,47,Temperature (deg C),5,19-Jan-11,1,NH4,1,Wind_Spd,48,x(CO2)1013,4,0.0,0.0,month/day/year,18,0.0,0.0,WindSpd_True_M_S,1,20120806PRINUNIVRMK,3,0.0,0.0,0.0,0.0, fCO2_ATM_uatm_assigned,11,SHIP_HEADING_TRUE_DEGREE,19, LAT_dec_degree,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,SD_EQUILIBRATOR_PRESSURE [kPa],7,Double single point (4.45;4.41) Open flask,13,XH2O,136,Atm_xCO2,20,QF Note,1,0.0,0.0,CFC-12,12,Air fCO2 cal,47,PO4 (umol/kg),5,1203,1,Lab ,1,Atm_Prs,48,DBT,4,0.0,0.0,PCO2_WAT,18,0.0,0.0,WindSpd_True_knots,1,20140124PRINUNIVRMK,3,0.0,0.0,0.0,0.0,WIND_DIR_REL_DEGREE,11,TEMP_IR_C,19,Pres_lab_hpa,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,ATMOSPHERIC_PRESSURE [kPa],7,DIC,13,XCO2_WAT_SST,134,pCO2,20,Station Name,1,0.0,0.0,CFC-11_FLAG_W,11,QC Comments,46,QC_Flag_PO4,5,21,1,Cocco,1,xCO2_Air,48,EQU_XCO2_ppm,4,0.0,0.0,hour:minute:second,18,0.0,0.0,H2O_flow_LPM,1,20061204WHPSIODBK,3,0.0,0.0,0.0,0.0,WATER_FLOW_L/MIN,11,GAS_FLOW_IR_ML/MIN,19,flow_h2o_Lmin,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,EQUILIBRATOR_TEMPERATURE_WOCE_FLAG,7,Curve Fitting Method,13,SSS_FLAG,102,Eq_Press,20,CTD Trans [%],1,0.0,0.0,CFC-12_FLAG_W,11,Salinity,29,Date (UTC),5,GV air (09),1,QC fCO2,1,Atm_Tmp.,48,GYRD,4,0.0,0.0,ALKALI,18,0.0,0.0,LICOR_flow_ml_min,1,20090818MIRCJHATS,3,0.0,0.0,0.0,0.0,WIND_SPEED_REL_M/S,11,WIND_SPEED_TRUE_M/S,19,Pres_equ_hpa_diff,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,XCO2_DRY_AIR [ppm],7,CFC142b,12,SHIP,100,Atm_Pressure,20,TSS [mg/L],1,0.0,0.0,DELC13,11,xH2O_equ,28,QC_Flag_pCO2_Discrete,5,2012/03/14,1,fCO2_W20,1,Wind_Dir,48,LATITUDE,3,0.0,0.0,OXYGEN,18,0.0,0.0,WindDirn_True,1,20020418WHPSIOdm,2,0.0,0.0,0.0,0.0,SHIP_HEADING_TRUE_DEGREE,11,FLUORO_uG/L,17,Type,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,SUB_FLAG,7,CFC141b,12,MINUTE,99,Atm_xCO2_mean,20,Nominal Depth [m] ,1,0.0,0.0,DELC13_FLAG_W,11,Date/Time,28,Pressure (db),5,19,1,DOC,1,pH2O,47,SST2,3,0.0,0.0,PCO2_AIR,18,0.0,0.0,WindDirn_True_deg,1,20150129PRINUNIVRMK,2,0.0,0.0,0.0,0.0,WIND_DIR_TRUE_DEGREE,11,WIND_DIR_REL_DEGREE,17,Pres_licor_hpa,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,TIME [YYYY-MM-DD hh:mm:ss],7,CHBr2Cl,12,PCO2_WAT,98,fCO2,20,Cast No.,1,0.0,0.0,MONTH,10,P_equilib,28,Time (UTC),5,Drake Passage Research,1,TCO2_FM,1,Serial No.,45,PCO2BRUT,3,0.0,0.0,SILICATE,18,0.0,0.0,0.0,0.0,20070517WHPSIOdm,2,0.0,0.0,0.0,0.0,AIR_TEMP_C,11,AIR_TEMP_C,17,YearDay,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
